Année;Polluant;Fuel;Emissions;Type de véhicule
1993;Cr;Diesel;0.3;Voitures particulières
1994;Cr;Diesel;0.33;Voitures particulières
1995;Cr;Diesel;0.37;Voitures particulières
1996;Cr;Diesel;0.4;Voitures particulières
1997;Cr;Diesel;0.43;Voitures particulières
1998;Cr;Diesel;0.46;Voitures particulières
1999;Cr;Diesel;0.49;Voitures particulières
2000;Cr;Diesel;0.51;Voitures particulières
2001;Cr;Diesel;0.56;Voitures particulières
2002;Cr;Diesel;0.59;Voitures particulières
2003;Cr;Diesel;0.63;Voitures particulières
2004;Cr;Diesel;0.65;Voitures particulières
2005;Cr;Diesel;0.67;Voitures particulières
2006;Cr;Diesel;0.71;Voitures particulières
2007;Cr;Diesel;0.74;Voitures particulières
2008;Cr;Diesel;0.77;Voitures particulières
2009;Cr;Diesel;0.81;Voitures particulières
1990;Cu;Diesel;12.0;Voitures particulières
1991;Cu;Diesel;14.0;Voitures particulières
1992;Cu;Diesel;15.0;Voitures particulières
1993;Cu;Diesel;17.0;Voitures particulières
1994;Cu;Diesel;19.0;Voitures particulières
1995;Cu;Diesel;21.0;Voitures particulières
1996;Cu;Diesel;22.0;Voitures particulières
1997;Cu;Diesel;24.0;Voitures particulières
1998;Cu;Diesel;25.0;Voitures particulières
1999;Cu;Diesel;28.0;Voitures particulières
2000;Cu;Diesel;28.0;Voitures particulières
2001;Cu;Diesel;32.0;Voitures particulières
2002;Cu;Diesel;34.0;Voitures particulières
2003;Cu;Diesel;37.0;Voitures particulières
2004;Cu;Diesel;39.0;Voitures particulières
2005;Cu;Diesel;41.0;Voitures particulières
2006;Cu;Diesel;45.0;Voitures particulières
2007;Cu;Diesel;47.0;Voitures particulières
2008;Cu;Diesel;49.0;Voitures particulières
2009;Cu;Diesel;51.0;Voitures particulières
1990;Pb;Diesel;5.7;Voitures particulières
1991;Pb;Diesel;6.4;Voitures particulières
1992;Pb;Diesel;7.3;Voitures particulières
1993;Pb;Diesel;7.9;Voitures particulières
1994;Pb;Diesel;8.8;Voitures particulières
1995;Pb;Diesel;9.9;Voitures particulières
1996;Pb;Diesel;10.6;Voitures particulières
1997;Pb;Diesel;11.2;Voitures particulières
1998;Pb;Diesel;11.8;Voitures particulières
1999;Pb;Diesel;13.1;Voitures particulières
2000;Pb;Diesel;13.1;Voitures particulières
2001;Pb;Diesel;15.0;Voitures particulières
2002;Pb;Diesel;15.9;Voitures particulières
2003;Pb;Diesel;17.4;Voitures particulières
2004;Pb;Diesel;18.3;Voitures particulières
2005;Pb;Diesel;19.5;Voitures particulières
2006;Pb;Diesel;21.1;Voitures particulières
2007;Pb;Diesel;22.0;Voitures particulières
2008;Pb;Diesel;23.2;Voitures particulières
2009;Pb;Diesel;23.8;Voitures particulières
1990;Zn;Diesel;30.57;Voitures particulières
1991;Zn;Diesel;34.36;Voitures particulières
1992;Zn;Diesel;38.84;Voitures particulières
1993;Zn;Diesel;42.35;Voitures particulières
1994;Zn;Diesel;47.02;Voitures particulières
1995;Zn;Diesel;52.52;Voitures particulières
1996;Zn;Diesel;56.45;Voitures particulières
1997;Zn;Diesel;59.45;Voitures particulières
1998;Zn;Diesel;63.4;Voitures particulières
