Année;Régions;Départements;Fuel;Nb_véhicules
2014;Grand Est;Aube;Essence+Superéthanol;42933
2014;Grand Est;Haut-Rhin;Essence+Superéthanol;153373
2014;Grand Est;Moselle;Essence+Superéthanol;176731
2014;Grand Est;Ardennes;Essence+Superéthanol;33606
2014;Hauts-de-France;Somme;Essence+Superéthanol;68795
2014;Hauts-de-France;Nord;Essence+Superéthanol;345283
2014;Hauts-de-France;Oise;Essence+Superéthanol;167997
2014;Hauts-de-France;Aisne;Essence+Superéthanol;75650
2014;Hauts-de-France;Pas-de-Calais;Essence+Superéthanol;173839
2014;Normandie;Eure;Essence+Superéthanol;79988
2014;Normandie;Orne;Essence+Superéthanol;33772
2014;Normandie;Manche;Essence+Superéthanol;61894
2014;Normandie;Seine-Maritime;Essence+Superéthanol;212839
2014;Normandie;Calvados;Essence+Superéthanol;101665
2014;Nouvelle-Aquitaine;Landes;Essence+Superéthanol;59743
2014;Nouvelle-Aquitaine;Pyrénées-Atlantiques;Essence+Superéthanol;116763
2014;Nouvelle-Aquitaine;Dordogne;Essence+Superéthanol;53747
2014;Nouvelle-Aquitaine;Vienne;Essence+Superéthanol;56810
2014;Nouvelle-Aquitaine;Gironde;Essence+Superéthanol;252499
2014;Nouvelle-Aquitaine;Deux-Sèvres;Essence+Superéthanol;56838
2014;Nouvelle-Aquitaine;Haute-Vienne;Essence+Superéthanol;57551
2014;Nouvelle-Aquitaine;Creuse;Essence+Superéthanol;14081
2014;Nouvelle-Aquitaine;Corrèze;Essence+Superéthanol;35902
2014;Nouvelle-Aquitaine;Lot-et-Garonne;Essence+Superéthanol;41196
2014;Nouvelle-Aquitaine;Charente;Essence+Superéthanol;45216
2014;Nouvelle-Aquitaine;Charente-Maritime;Essence+Superéthanol;95444
2014;Occitanie;Hérault;Essence+Superéthanol;179767
2014;Occitanie;Pyrénées-Orientales;Essence+Superéthanol;78930
2014;Occitanie;Tarn;Essence+Superéthanol;51435
2014;Occitanie;Ariège;Essence+Superéthanol;18024
2014;Occitanie;Gard;Essence+Superéthanol;116381
2014;Occitanie;Aveyron;Essence+Superéthanol;33054
2014;Occitanie;Haute-Garonne;Essence+Superéthanol;205190
2014;Occitanie;Lot;Essence+Superéthanol;22910
2014;Occitanie;Aude;Essence+Superéthanol;49880
2014;Occitanie;Tarn-et-Garonne;Essence+Superéthanol;29481
2014;Occitanie;Hautes-Pyrénées;Essence+Superéthanol;33245
2014;Occitanie;Gers;Essence+Superéthanol;21736
2014;Occitanie;Lozère;Essence+Superéthanol;8994
2014;Pays de la Loire;Vendée;Essence+Superéthanol;92883
2014;Pays de la Loire;Mayenne;Essence+Superéthanol;34747
2014;Pays de la Loire;Sarthe;Essence+Superéthanol;78913
2014;Pays de la Loire;Maine-et-Loire;Essence+Superéthanol;104491
2014;Pays de la Loire;Loire-Atlantique;Essence+Superéthanol;218317
2014;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Essence+Superéthanol;279026
2014;Provence-Alpes-Côte d'Azur;Vaucluse;Essence+Superéthanol;94599
2014;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Essence+Superéthanol;355078
2014;Provence-Alpes-Côte d'Azur;Hautes-Alpes;Essence+Superéthanol;22179
2014;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Essence+Superéthanol;25954
2014;Provence-Alpes-Côte d'Azur;Var;Essence+Superéthanol;227974
2014;Île-de-France;Essonne;Essence+Superéthanol;231927
2014;Île-de-France;Val-d'Oise;Essence+Superéthanol;204743
2014;Île-de-France;Seine-et-Marne;Essence+Superéthanol;213876
2014;Île-de-France;Seine-Saint-Denis;Essence+Superéthanol;182189
2014;Île-de-France;Paris;Essence+Superéthanol;300263
2014;Île-de-France;Hauts-de-Seine;Essence+Superéthanol;298803
2014;Île-de-France;Val-de-Marne;Essence+Superéthanol;229108
2014;Île-de-France;Yvelines;Essence+Superéthanol;325530
2015;Auvergne-Rhône-Alpes;Ain;Essence+Superéthanol;104949
2015;Auvergne-Rhône-Alpes;Allier;Essence+Superéthanol;49179
2015;Auvergne-Rhône-Alpes;Haute-Loire;Essence+Superéthanol;28487
2015;Auvergne-Rhône-Alpes;Savoie;Essence+Superéthanol;71245
2015;Auvergne-Rhône-Alpes;Rhône;Essence+Superéthanol;286668
2015;Auvergne-Rhône-Alpes;Ardèche;Essence+Superéthanol;46313
2015;Auvergne-Rhône-Alpes;Puy-de-Dôme;Essence+Superéthanol;96062
2015;Auvergne-Rhône-Alpes;Haute-Savoie;Essence+Superéthanol;169112
2015;Auvergne-Rhône-Alpes;Loire;Essence+Superéthanol;105297
2015;Auvergne-Rhône-Alpes;Drôme;Essence+Superéthanol;76025
2015;Auvergne-Rhône-Alpes;Cantal;Essence+Superéthanol;17479
2015;Auvergne-Rhône-Alpes;Isère;Essence+Superéthanol;200139
2015;Bourgogne-Franche-Comté;Doubs;Essence+Superéthanol;85475
2015;Bourgogne-Franche-Comté;Côte-d'Or;Essence+Superéthanol;81020
2015;Bourgogne-Franche-Comté;Haute-Saône;Essence+Superéthanol;30303
